tile_id,temperature_1400_c,min_temperature_1400_c,max_temperature_1400_c,lat,lon,city,area,temperature_c,exceedance_h,threshold_c,area_reference_temperature_c,env_apparent_temperature_c,env_wet_bulb_c,env_relative_humidity_pct,env_heat_index_c,precipitation_mm,env_cloud_cover_context,solar_ghi,solar_dni,solar_dhi,fg_canopy_fraction,fg_vegetation_fraction,fg_building_fraction,fg_road_fraction,fg_impervious_fraction,fg_pervious_fraction,canopy_fraction,vegetation_fraction,building_fraction,road_fraction,impervious_fraction,pervious_fraction,geoid_blockgroup,geoid_tract,blockgroup_area_km2,population_acs_matched,population,poverty_fraction,no_vehicle_fraction,poverty_count,poverty_universe,households_total,no_vehicle_households,transit_stop_count,source_tile_id,source_exceedance_h,thermal_stress_index,vulnerability,exposure_multiplier,exposed_population,baseline_person_hours,equity_weighted_person_hours,high_vulnerability
atlanta::Downtown::0,35.5555,35.5555,35.5555,33.736288003189166,-84.40345956155343,atlanta,Downtown,35.5555,7.008,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,131210057002,13121005700,0.521716,True,15.928206150472672,0.3217338217338217,0.1587078651685393,527,1638,712,113,13,0,7.008,0.9220107107187806,0.4918877433017054,1.13,17.99887295003412,242.4349383485514,331.87301938986917,False
atlanta::Downtown::1,35.5498,35.5498,35.5498,33.73626549766695,-84.40239024032662,atlanta,Downtown,35.5498,6.9994,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,131210044002,13121004400,0.594826,True,10.255099810700944,0.3035175879396985,0.3301565690946222,906,2985,1469,485,13,1,6.9994,0.9170019641070494,0.6449447956047016,1.13,11.588262786092066,155.48972881717688,230.70144734514534,True
atlanta::Downtown::2,35.5441,35.5441,35.5441,33.73624298289775,-84.4013209202874,atlanta,Downtown,35.5441,6.9908,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,131210044002,13121004400,0.594826,True,10.255099810700944,0.3035175879396985,0.3301565690946222,906,2985,1469,485,12,2,6.9908,0.9119932174953198,0.6449447956047016,1.12,11.485711787985059,153.52218370919636,227.78218375403267,True
atlanta::Downtown::3,35.5386,35.5386,35.5386,33.7362204588816,-84.40025160143625,atlanta,Downtown,35.5386,6.9827,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,131210044002,13121004400,0.594826,True,10.255099810700944,0.3035175879396985,0.3301565690946222,906,2985,1469,485,11,3,6.9827,0.9072580943181917,0.6449447956047016,1.11,11.38316078987805,151.59878506583382,224.92842065198778,True
atlanta::Downtown::4,35.5338,35.5338,35.5338,33.73619792561854,-84.39918228377368,atlanta,Downtown,35.5338,6.9757,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,131210044002,13121004400,0.594826,True,10.255099810700944,0.3035175879396985,0.3301565690946222,906,2985,1469,485,10,4,6.9757,0.9031597347854653,0.6449447956047016,1.1,11.28060979177104,149.75992447982662,222.2000873923896,True
atlanta::Downtown::5,35.5301,35.5301,35.5301,33.73617538310861,-84.39811296730014,atlanta,Downtown,35.5301,6.9702,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,0.3349,0.3349,0.1411,0.0421,0.1411,0.3381,131210120002,13121012000,0.670406,True,6.607936086490874,0.5362637362637362,0.2750809061488673,1952,3640,1854,510,9,5,6.9702,0.8999491534186203,0.8589691671250019,1.09,7.202650334275053,95.38488268656532,156.8343876147616,True
atlanta::Downtown::6,35.5278,35.5278,35.5278,33.73615283135183,-84.39704365201614,atlanta,Downtown,35.5278,6.9667,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.4435,0.4435,0.0768,0.127,0.127,0.4435,0.4435,0.4435,0.0768,0.127,0.127,0.4435,131210120002,13121012000,0.670406,True,6.607936086490874,0.5362637362637362,0.2750809061488673,1952,3640,1854,510,6,6,6.9667,0.8979133552246727,0.8589691671250019,1.06,7.004412251680327,92.61369044606371,152.27791885618478,True
atlanta::Downtown::7,35.5273,35.5273,35.5273,33.73613027034824,-84.39597433792215,atlanta,Downtown,35.5273,6.9657,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3034,0.3034,0.6161,0.0565,0.6161,0.3034,0.3034,0.3034,0.6161,0.0565,0.6161,0.3034,131210120002,13121012000,0.670406,True,6.607936086490874,0.5362637362637362,0.2750809061488673,1952,3640,1854,510,10,7,6.9657,0.8973527267830537,0.8589691671250019,1.1,7.268729695139961,96.06636564837815,157.95490021566312,True
atlanta::Downtown::8,35.529,35.529,35.529,33.73610770009788,-84.3949050250187,atlanta,Downtown,35.529,6.9677,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3034,0.3034,0.6161,0.0565,0.6161,0.3034,0.3034,0.3034,0.6161,0.0565,0.6161,0.3034,131210120002,13121012000,0.670406,True,6.607936086490874,0.5362637362637362,0.2750809061488673,1952,3640,1854,510,9,8,6.9677,0.898567654673197,0.8589691671250019,1.09,7.202650334275053,95.28133924586174,156.66413870679122,True
atlanta::Downtown::9,35.5333,35.5333,35.5333,33.736085120600784,-84.39383571330623,atlanta,Downtown,35.5333,6.9731,32.0,32.5802,38.4,23.8,33.9,32.0,0.0,100.0,784.26,745.4,155.4,0.3034,0.3034,0.6161,0.0565,0.6161,0.3034,0.3034,0.3034,0.6161,0.0565,0.6161,0.3034,131210120002,13121012000,0.670406,True,6.607936086490874,0.5362637362637362,0.2750809061488673,1952,3640,1854,510,9,9,6.9731,0.9018091534165771,0.8589691671250019,1.09,7.202650334275053,95.51798635768256,157.05324024801948,True
