tile_id,temperature_1400_c,min_temperature_1400_c,max_temperature_1400_c,lat,lon,city,area,temperature_c,exceedance_h,threshold_c,area_reference_temperature_c,env_apparent_temperature_c,env_wet_bulb_c,env_relative_humidity_pct,env_heat_index_c,precipitation_mm,env_cloud_cover_context,solar_ghi,solar_dni,solar_dhi,fg_canopy_fraction,fg_vegetation_fraction,fg_building_fraction,fg_road_fraction,fg_impervious_fraction,fg_pervious_fraction,canopy_fraction,vegetation_fraction,building_fraction,road_fraction,impervious_fraction,pervious_fraction,geoid_blockgroup,geoid_tract,blockgroup_area_km2,population_acs_matched,population,poverty_fraction,no_vehicle_fraction,poverty_count,poverty_universe,households_total,no_vehicle_households,transit_stop_count,source_tile_id,source_exceedance_h,thermal_stress_index,vulnerability,exposure_multiplier,exposed_population,baseline_person_hours,equity_weighted_person_hours,high_vulnerability
las_vegas::Downtown_Las_Vegas::0,40.4877,40.4877,40.4877,36.1587623790763,-115.15384258008092,las_vegas,Downtown_Las_Vegas,40.4877,7.0537,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,320030011001,32003001100,0.661236,True,4.53695806035969,0.2362122788761706,0.4199184624344787,681,2883,1717,721,8,0,7.0537,0.5654326961487087,0.5499219969017942,1.12,5.081393027602854,56.10921239262403,79.25097998527806,False
las_vegas::Downtown_Las_Vegas::1,40.4751,40.4751,40.4751,36.15874518794504,-115.15272823205852,las_vegas,Downtown_Las_Vegas,40.4751,6.9584,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,320030011001,32003001100,0.661236,True,4.53695806035969,0.2362122788761706,0.4199184624344787,681,2883,1717,721,8,1,6.9584,0.5192024831546231,0.5499219969017942,1.12,5.081393027602854,53.71651627786648,75.87143670146554,False
las_vegas::Downtown_Las_Vegas::2,40.4612,40.4612,40.4612,36.15872798645085,-115.15161388498048,las_vegas,Downtown_Las_Vegas,40.4612,6.8535,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,320030011001,32003001100,0.661236,True,4.53695806035969,0.2362122788761706,0.4199184624344787,681,2883,1717,721,9,2,6.8535,0.46825984901645235,0.5499219969017942,1.135,5.149447398508248,51.81744153399489,73.18910472603223,False
las_vegas::Downtown_Las_Vegas::3,40.4465,40.4465,40.4465,36.15871077459377,-115.15049953884731,las_vegas,Downtown_Las_Vegas,40.4465,6.7419,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,320030011001,32003001100,0.661236,True,4.53695806035969,0.2362122788761706,0.4199184624344787,681,2883,1717,721,8,3,6.7419,0.41422181746350634,0.5499219969017942,1.12,5.081393027602854,48.44875560176433,68.43103292271125,False
las_vegas::Downtown_Las_Vegas::4,40.4312,40.4312,40.4312,36.15869355237382,-115.14938519365968,las_vegas,Downtown_Las_Vegas,40.4312,6.6266,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,320030011001,32003001100,0.661236,True,4.53695806035969,0.2362122788761706,0.4199184624344787,681,2883,1717,721,6,4,6.6266,0.35818908797978327,0.5499219969017942,1.09,4.945284285792062,44.50842800457074,62.8655507099957,False
las_vegas::Downtown_Las_Vegas::5,40.4159,40.4159,40.4159,36.15867631979104,-115.14827084941808,las_vegas,Downtown_Las_Vegas,40.4159,6.5105,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,0.0109,0.88,0.3023,0.1959,0.3023,0.5018,320030011001,32003001100,0.661236,True,4.53695806035969,0.2362122788761706,0.4199184624344787,681,2883,1717,721,5,5,6.5105,0.3019590150211648,0.5499219969017942,1.075,4.877229914886667,41.341371975402616,58.39226934893258,False
las_vegas::Downtown_Las_Vegas::6,40.4009,40.4009,40.4009,36.158659076845446,-115.1471565061231,las_vegas,Downtown_Las_Vegas,40.4009,6.3968,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.4624,0.2907,0.4624,0.88,0.0109,0.88,0.4624,0.2907,0.4624,0.88,320030012001,32003001200,0.467521,True,14.951200053045746,0.2459100204498977,0.3476494486360998,962,3912,1723,599,6,6,6.3968,0.24686196466692134,0.5079715813518613,1.09,16.296808057819863,129.98214513738628,179.50257199709523,False
las_vegas::Downtown_Las_Vegas::7,40.3866,40.3866,40.3866,36.15864182353707,-115.1460421637753,las_vegas,Downtown_Las_Vegas,40.3866,6.2884,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.4624,0.2907,0.4624,0.88,0.0109,0.88,0.4624,0.2907,0.4624,0.88,320030012001,32003001200,0.467521,True,14.951200053045746,0.2459100204498977,0.3476494486360998,962,3912,1723,599,5,7,6.2884,0.19433462991981765,0.5079715813518613,1.075,16.072540057024177,120.71207094182955,166.70079711526395,False
las_vegas::Downtown_Las_Vegas::8,40.3734,40.3734,40.3734,36.15862455986594,-115.14492782237528,las_vegas,Downtown_Las_Vegas,40.3734,6.1885,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.4624,0.2907,0.4624,0.88,0.0109,0.88,0.4624,0.2907,0.4624,0.88,320030012001,32003001200,0.467521,True,14.951200053045746,0.2459100204498977,0.3476494486360998,962,3912,1723,599,4,8,6.1885,0.14588770758568298,0.5079715813518613,1.06,15.848272056228492,112.385264929816,155.20165549010088,False
las_vegas::Downtown_Las_Vegas::9,40.3618,40.3618,40.3618,36.15860728583209,-115.14381348192356,las_vegas,Downtown_Las_Vegas,40.3618,6.1002,40.0,40.18,42.2,20.8,10.1,37.1,0.0,9.0,848.53,869.18,115.63,0.0109,0.88,0.4624,0.2907,0.4624,0.88,0.0109,0.88,0.4624,0.2907,0.4624,0.88,320030012001,32003001200,0.467521,True,14.951200053045746,0.2459100204498977,0.3476494486360998,962,3912,1723,599,5,9,6.1002,0.10318755726258005,0.5079715813518613,1.075,16.072540057024177,108.16280605277308,149.37052977833443,False
