tile_id,temperature_1400_c,min_temperature_1400_c,max_temperature_1400_c,lat,lon,city,area,temperature_c,exceedance_h,threshold_c,area_reference_temperature_c,env_apparent_temperature_c,env_wet_bulb_c,env_relative_humidity_pct,env_heat_index_c,precipitation_mm,env_cloud_cover_context,solar_ghi,solar_dni,solar_dhi,fg_canopy_fraction,fg_vegetation_fraction,fg_building_fraction,fg_road_fraction,fg_impervious_fraction,fg_pervious_fraction,canopy_fraction,vegetation_fraction,building_fraction,road_fraction,impervious_fraction,pervious_fraction,canopy_geoid_legacy,blockgroup_area_km2,geoid_blockgroup,geoid_tract,population_acs_matched,population,poverty_fraction,no_vehicle_fraction,poverty_count,poverty_universe,households_total,no_vehicle_households,transit_stop_count,source_tile_id,source_exceedance_h,thermal_stress_index,vulnerability,exposure_multiplier,exposed_population,baseline_person_hours,equity_weighted_person_hours,high_vulnerability
miami::Little_Havana::0,31.3011,31.3011,31.3011,25.751872775985127,-80.233822896184,miami,Little_Havana,31.3011,2.3248,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,8,0,2.3248,0.24403450553833608,0.22378622258179867,1.1107692307692307,39.96021227993724,115.57018542375795,134.9674468530536,False
miami::Little_Havana::1,31.3011,31.3011,31.3011,25.75186749213333,-80.23281937018584,miami,Little_Havana,31.3011,2.3325,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,12,1,2.3325,0.244732128365901,0.22378622258179867,1.166153846153846,41.952688238493664,121.80282093503162,142.2461658326751,False
miami::Little_Havana::2,31.2968,31.2968,31.2968,25.75186220136677,-80.2318158444685,miami,Little_Havana,31.2968,2.32,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,14,2,2.32,0.24249839949600746,0.22378622258179867,1.18,42.450807228132774,122.36853928878296,142.90683416649983,False
miami::Little_Havana::3,31.2876,31.2876,31.2876,25.751856903685468,-80.23081231903238,miami,Little_Havana,31.2876,2.284,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,16,3,2.284,0.23688067851502495,0.22378622258179867,1.18,42.450807228132774,119.9250361380743,140.05321426081832,False
miami::Little_Havana::4,31.2727,31.2727,31.2727,25.751851599089424,-80.22980879387782,miami,Little_Havana,31.2727,2.2213,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.146766644,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,15,4,2.2213,0.22738416531210467,0.46514464384819393,1.18,41.614914207682716,113.45842129407704,153.0393540173859,False
miami::Little_Havana::5,31.2516,31.2516,31.2516,25.75184628757865,-80.22880526900522,miami,Little_Havana,31.2516,2.1286,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,16,5,2.1286,0.21358182934058567,0.46514464384819393,1.18,41.614914207682716,107.50090656138687,145.00350973327755,False
miami::Little_Havana::6,31.2235,31.2235,31.2235,25.75184096915316,-80.2278017444149,miami,Little_Havana,31.2235,2.0025,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,13,6,2.0025,0.19496075041617683,0.46514464384819393,1.18,41.614914207682716,99.58069869300999,134.3202701637958,False
miami::Little_Havana::7,31.1883,31.1883,31.1883,25.75183564381294,-80.22679822010726,miami,Little_Havana,31.1883,1.842,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,13,7,1.842,0.17140471830469162,0.46514464384819393,1.18,41.614914207682716,89.7936444264025,121.11891899381526,False
miami::Little_Havana::8,31.1486,31.1486,31.1486,25.751830311558013,-80.22579469608264,miami,Little_Havana,31.1486,1.6596,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,6,8,1.6596,0.14471209413754035,0.46514464384819393,1.083076923076923,38.19674002895519,72.56479893639526,97.8796446042843,False
miami::Little_Havana::9,31.1081,31.1081,31.1081,25.75182497238839,-80.22479117234144,miami,Little_Havana,31.1081,1.4728,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,10,9,1.4728,0.1174159494188827,0.46514464384819393,1.1384615384615384,40.14998241679949,66.07603900650656,89.1272257294422,False
